Pair,Date,Session,Lots,Entry ,Type,Setup,Time Frame,Outcome,P & L,Exit,Pip size 
XAU/USD,"August 7, 2024 6:00 AM (GMT+5:30)",ASIAN,0.01,2384.162,BUY/LONG,ICT GOLD RETEST,15 min & 1 min,SL HIT,4.31,2379.845,2
XAU/USD,"August 6, 2024 5:00 AM (GMT+5:30)",ASIAN,0.01,2413.77,SELL/SHORT,ICT GOLD RETEST,15 min & 1 min,TP HIT,5.21,2408.559,5
XAU/USD,"August 5, 2024 5:00 PM (GMT+5:30)",NEWYORK,0.01,2383.324,SELL/SHORT,T2 AMD,1 min,SL HIT,5.54,2388.86,1
XAU/USD,"August 1, 2024 5:00 PM (GMT+5:30)",LONDON,0.02,2438.198,SELL/SHORT,15M FVG,15 min,SL HIT,4.52,2440.397,1
XAU/USD,"August 1, 2024 7:00 AM (GMT+5:30)",ASIAN,0.02,2454.372,SELL/SHORT,ICT GOLD RETEST,15 min & 1 min,TP HIT,11.05,2448.846,10
XAU/USD,"August 1, 2024 6:30 AM (GMT+5:30)",ASIAN,0.02,2448.031,SELL/SHORT,ICT GOLD RETEST,15 min & 1 min,SL HIT,2.42,8449.238,5
XAU/USD,"July 31, 2024 6:23 AM (GMT+5:30)",ASIAN,0.02,2383.284,BUY/LONG,ICT GOLD RETEST,15 min & 1 min,SL HIT,1.43,2381.852,2
XAU/USD,"July 26, 2024 6:36 AM (GMT+5:30)",ASIAN,0.02,2360.953,BUY/LONG,ICT GOLD RETEST,15 min & 1 min,TP HIT,23.27,2372.592,5
XAU/USD,"July 25, 2024 5:35 PM (GMT+5:30)",NEWYORK,0.05,2366.277,SELL/SHORT,T3 AD,1 min,TP HIT,12.64,2363.749,1
XAU/USD,"July 24, 2024 7:30 PM (GMT+5:30)",NEWYORK,0.05,2421.534,BUY/LONG,T3 AMD,1 min,SL HIT,4.47,2420.64,1.5
XAU/USD,"July 24, 2024 7:00 PM (GMT+5:30)",NEWYORK,0.05,2419.032,SELL/SHORT,T2 AD,1 min,SL HIT,24.63,2423.957,3
XAU/USD,"July 24, 2024 5:45 AM (GMT+5:30)",ASIAN,0.05,2408.743,SELL/SHORT,ICT GOLD RETEST,15 min & 1 min,SL HIT,8,2410.344,3
XAU/USD,"July 23, 2024 6:00 PM (GMT+5:30)",NEWYORK,0.02,2407.523,SELL/SHORT,T1 AD,1 min,SL HIT,2.72,2408,5
XAU/USD,"July 19, 2024 4:00 PM (GMT+5:30)",LONDON,0.05,2413.677,BUY/LONG,T1 AD,1 min,SL HIT,14.5,2410.745,2.5
XAU/USD,"July 18, 2024 5:40 AM (GMT+5:30)",ASIAN,0.05,2458.678,BUY/LONG,ICT GOLD RETEST,15 min & 1 min,TP HIT,20,2462.774,4.5
XAU/USD,"July 16, 2024 5:40 AM (GMT+5:30)",ASIAN,0.1,2421.42,BUY/LONG,ICT GOLD RETEST,15 min & 1 min,TP HIT,10,2422.469,3
XAU/USD,"July 15, 2024 7:30 AM (GMT+5:30)",ASIAN,0.05,2404.559,BUY/LONG,ICT GOLD RETEST,15 min & 1 min,TP HIT,15,2407.13,3.5
XAU/USD,"July 10, 2024 7:00 PM (GMT+5:30)",NEWYORK,0.05,2377.385,SELL/SHORT,T3 AD,1 min,SL HIT,23,2382.169,2
XAU/USD,"July 8, 2024 4:56 PM (GMT+5:30)",NEWYORK,0.01,2358.314,BUY/LONG,T2 AD,1 min,SL HIT,3.31,2355,
XAU/USD,"July 3, 2024 4:16 PM (GMT+5:30)",LONDON,0.05,2348.676,SELL/SHORT,T3 AD,1 min,SL HIT,16.5,2348.376,
XAU/USD,"July 1, 2024 1:28 PM (GMT+5:30)",LONDON,0.05,2328.277,BUY/LONG,T2 AD,1 min,TP HIT,10,2330.35,
